Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
DataTech Solutions,Email,Women 35-44,30 days,0.14,12995.12,4.84,San Francisco,English,1966,11498,10,Health & Wellness,2022-07-06
NexGen Systems,Search,Men 25-34,30 days,0.01,13912.25,2.39,Nueva Orleans,Mandarin,1703,4039,8,Outdoor Adventurers,2022-07-16
NexGen Systems,Search,Men 18-24,60 days,0.01,15473.78,7.28,Los Angeles,German,1315,18662,9,Health & Wellness,2022-07-14
DataTech Solutions,Social Media,Men 25-34,15 days,0.12,6182.65,5.47,New York,French,248,12086,10,Tech Enthusiasts,2022-07-03
DataTech Solutions,Influencer,Women 25-34,30 days,0.09,15790.25,4.03,Boston,French,156,6691,6,Foodies,2022-07-25
NexGen Systems,Email,Men 25-34,15 days,0.07,19033.25,5.78,Boston,English,273,18265,7,Health & Wellness,2022-07-06
NexGen Systems,Influencer,Women 35-44,30 days,0.14,12181.41,3.63,Miami,Mandarin,1662,14776,8,Outdoor Adventurers,2022-07-05
DataTech Solutions,Influencer,All Ages,45 days,0.03,14701.34,3.76,Nueva Orleans,French,1834,9886,7,Foodies,2022-07-16
Alpha Innovations,Social Media,Women 25-34,60 days,0.1,19745.89,5.53,Nueva Orleans,English,935,11470,1,Health & Wellness,2022-07-19
Alpha Innovations,Social Media,Men 18-24,45 days,0.14,6654.71,4.85,Chicago,Spanish,119,8481,9,Health & Wellness,2022-07-12
TechCorp,Email,Women 25-34,15 days,0.1,14861.75,2.33,Miami,Spanish,775,19614,10,Outdoor Adventurers,2022-07-26
DataTech Solutions,Influencer,Women 25-34,45 days,0.14,12745.12,7.76,San Francisco,Mandarin,1866,9896,2,Fashionistas,2022-07-01
NexGen Systems,Search,All Ages,60 days,0.15,11328.26,6.43,San Francisco,French,925,12003,2,Outdoor Adventurers,2022-07-14
Alpha Innovations,Search,Women 25-34,15 days,0.05,8073.38,3.35,Washington,French,375,8449,6,Foodies,2022-07-17
TechCorp,Search,All Ages,60 days,0.06,10379.88,2.61,San Francisco,Mandarin,1852,13331,9,Foodies,2022-07-17
TechCorp,Search,Women 35-44,30 days,0.07,9512.46,7.54,Chicago,French,1019,2801,5,Health & Wellness,2022-07-30
DataTech Solutions,Email,Men 25-34,45 days,0.03,17752.26,7.27,Los Angeles,French,1382,3568,9,Foodies,2022-07-06
TechCorp,Display,Women 25-34,30 days,0.09,10071.11,5.82,Los Angeles,Spanish,114,18238,7,Outdoor Adventurers,2022-07-04
TechCorp,Search,Women 25-34,15 days,0.06,8654.09,7.21,Boston,Mandarin,331,16305,3,Outdoor Adventurers,2022-07-14
Alpha Innovations,Email,Men 25-34,15 days,0.07,11853.98,7.29,Washington,French,940,3355,4,Outdoor Adventurers,2022-07-22
Innovate Industries,Influencer,Men 18-24,60 days,0.04,13633.58,6.27,Boston,French,1279,7809,10,Fashionistas,2022-07-15
NexGen Systems,Social Media,Women 25-34,60 days,0.09,7317.26,6.22,Washington,Spanish,1911,19107,4,Fashionistas,2022-07-25
Alpha Innovations,Search,Women 25-34,30 days,0.04,19620.71,6.73,Nueva Orleans,Mandarin,203,11743,6,Tech Enthusiasts,2022-07-23
Alpha Innovations,Email,Women 35-44,60 days,0.05,8387.43,5.69,Nueva Orleans,French,234,15293,10,Health & Wellness,2022-07-04
DataTech Solutions,Social Media,Women 25-34,30 days,0.08,16951.43,3.73,Boston,French,1838,4368,8,Fashionistas,2022-07-07
DataTech Solutions,Influencer,Men 18-24,60 days,0.02,18852.13,7.97,Chicago,Mandarin,671,8822,10,Outdoor Adventurers,2022-07-06
NexGen Systems,Social Media,All Ages,60 days,0.1,9317.21,5.61,Boston,Spanish,602,11061,5,Outdoor Adventurers,2022-07-01
Alpha Innovations,Display,Men 18-24,30 days,0.04,12676.84,5.44,Los Angeles,German,1836,2113,2,Foodies,2022-07-29
Innovate Industries,Influencer,All Ages,60 days,0.01,7369.5,4.3,Nueva Orleans,Mandarin,403,8865,6,Outdoor Adventurers,2022-07-11
Innovate Industries,Social Media,Men 18-24,30 days,0.08,18705.65,5.83,New York,French,635,3993,10,Fashionistas,2022-07-01
DataTech Solutions,Email,All Ages,60 days,0.07,7144.45,7.67,Chicago,English,466,14035,2,Foodies,2022-07-24
NexGen Systems,Email,Women 25-34,60 days,0.04,10218.81,2.46,Las Vegas,French,1469,7197,3,Fashionistas,2022-07-01
TechCorp,Influencer,Women 35-44,60 days,0.04,11660.62,4.95,Nueva Orleans,Spanish,1886,3491,10,Tech Enthusiasts,2022-07-20
TechCorp,Influencer,All Ages,45 days,0.07,18740.24,4.08,New York,French,1881,15549,9,Fashionistas,2022-07-16
Innovate Industries,Display,Women 35-44,45 days,0.13,8308.57,7.55,San Francisco,Mandarin,1513,18228,5,Foodies,2022-07-22
Alpha Innovations,Display,All Ages,15 days,0.05,9481.67,2.89,Boston,German,225,17108,4,Tech Enthusiasts,2022-07-22
Alpha Innovations,Email,All Ages,15 days,0.04,18138.63,7.17,Nueva Orleans,French,649,2816,7,Fashionistas,2022-07-02
DataTech Solutions,Email,All Ages,45 days,0.1,14372.1,4.04,Seattle,French,1648,18091,3,Foodies,2022-07-06
Alpha Innovations,Search,Men 18-24,15 days,0.1,13180.06,7.08,San Francisco,English,1364,19253,5,Tech Enthusiasts,2022-07-28
TechCorp,Influencer,Women 35-44,45 days,0.11,6949.08,7.63,Los Angeles,French,426,17764,4,Outdoor Adventurers,2022-07-23
Innovate Industries,Search,Men 25-34,60 days,0.03,17172.06,3.81,Miami,German,869,8307,7,Foodies,2022-07-20
Innovate Industries,Influencer,Women 25-34,45 days,0.08,18326.52,5.66,Nueva Orleans,English,1687,3973,4,Foodies,2022-07-20
NexGen Systems,Social Media,All Ages,15 days,0.05,11693.63,6.98,Los Angeles,German,1385,19306,2,Outdoor Adventurers,2022-07-14
NexGen Systems,Search,Men 18-24,60 days,0.11,19740.98,7.46,Boston,English,522,19219,5,Fashionistas,2022-07-07
Innovate Industries,Search,All Ages,45 days,0.05,19522.48,2.46,New York,Spanish,1018,4821,4,Health & Wellness,2022-07-28
Innovate Industries,Email,Women 25-34,15 days,0.09,15281.7,7.57,Las Vegas,Mandarin,1040,6351,9,Fashionistas,2022-07-22
Alpha Innovations,Influencer,Men 25-34,45 days,0.04,19041.23,4.66,Miami,Spanish,1017,6334,10,Tech Enthusiasts,2022-07-24
NexGen Systems,Influencer,All Ages,30 days,0.03,17717.32,3.01,Miami,Spanish,957,6644,1,Fashionistas,2022-07-17
Innovate Industries,Email,All Ages,45 days,0.03,13009.1,4.53,Nueva Orleans,Spanish,1159,7770,3,Foodies,2022-07-03
Innovate Industries,Social Media,Men 25-34,15 days,0.01,6195.75,3.4,Chicago,French,563,12085,5,Fashionistas,2022-07-02
Alpha Innovations,Influencer,Women 35-44,15 days,0.11,9263.65,3.22,Boston,Spanish,337,3493,4,Outdoor Adventurers,2022-07-08
Alpha Innovations,Influencer,Women 25-34,15 days,0.01,9020.11,5.39,Boston,Spanish,1211,6829,3,Foodies,2022-07-29
Alpha Innovations,Influencer,Men 25-34,30 days,0.08,11943.72,4.29,Nueva Orleans,English,447,14518,6,Fashionistas,2022-07-29
TechCorp,Search,Women 25-34,30 days,0.04,7696.92,5.13,Nueva Orleans,English,1187,17077,8,Foodies,2022-07-15
TechCorp,Email,Men 18-24,45 days,0.11,8907.88,5.19,Nueva Orleans,Spanish,922,2923,8,Tech Enthusiasts,2022-07-01
TechCorp,Social Media,Women 35-44,30 days,0.05,19083.88,3.98,Chicago,Spanish,309,1564,8,Foodies,2022-07-11
TechCorp,Email,Women 35-44,45 days,0.02,13819.61,7.71,Boston,Mandarin,1503,10046,7,Tech Enthusiasts,2022-07-27
NexGen Systems,Search,Women 25-34,45 days,0.08,9651.65,4.44,Seattle,French,521,4905,7,Fashionistas,2022-07-05
TechCorp,Search,Men 25-34,45 days,0.05,10365.33,6.0,Los Angeles,French,190,4801,7,Health & Wellness,2022-07-21
DataTech Solutions,Display,Men 18-24,45 days,0.15,15822.33,6.72,San Francisco,English,958,7212,4,Tech Enthusiasts,2022-07-03
TechCorp,Search,All Ages,45 days,0.03,17061.71,2.19,Miami,Mandarin,900,14034,2,Fashionistas,2022-07-27
TechCorp,Influencer,All Ages,45 days,0.11,10031.86,2.66,Las Vegas,Spanish,498,3135,3,Tech Enthusiasts,2022-07-23
TechCorp,Influencer,Women 25-34,45 days,0.15,13967.61,5.51,Washington,Mandarin,1196,2503,2,Health & Wellness,2022-07-20
Innovate Industries,Influencer,Men 25-34,45 days,0.03,7382.31,6.26,Washington,Spanish,1399,11585,5,Health & Wellness,2022-07-18
TechCorp,Influencer,Men 25-34,30 days,0.05,12138.01,2.16,Washington,English,1792,17739,6,Fashionistas,2022-07-02
Alpha Innovations,Email,Women 25-34,15 days,0.07,13781.35,6.03,Seattle,Mandarin,1740,11907,3,Foodies,2022-07-02
Innovate Industries,Social Media,Women 35-44,60 days,0.13,10859.09,2.09,Nueva Orleans,Mandarin,567,15019,3,Health & Wellness,2022-07-10
TechCorp,Email,All Ages,30 days,0.1,7502.04,2.93,Boston,German,142,13313,2,Health & Wellness,2022-07-11
TechCorp,Search,Men 25-34,45 days,0.12,6799.44,6.16,Boston,Spanish,1313,17645,4,Tech Enthusiasts,2022-07-01
Innovate Industries,Email,Men 25-34,30 days,0.1,12243.01,4.24,Nueva Orleans,Spanish,1441,16683,3,Outdoor Adventurers,2022-07-22
Innovate Industries,Email,Women 25-34,60 days,0.01,9553.89,4.69,Chicago,German,656,10366,6,Tech Enthusiasts,2022-07-15
Innovate Industries,Social Media,Women 25-34,30 days,0.03,7137.88,5.96,Nueva Orleans,German,1646,13338,10,Outdoor Adventurers,2022-07-08
NexGen Systems,Search,All Ages,15 days,0.08,7500.48,6.04,Chicago,English,442,7082,4,Outdoor Adventurers,2022-07-20
NexGen Systems,Display,Women 25-34,60 days,0.07,11355.7,6.67,Miami,French,260,3388,6,Outdoor Adventurers,2022-07-04
DataTech Solutions,Social Media,Men 25-34,15 days,0.06,9593.27,4.54,Washington,English,1803,4240,3,Foodies,2022-07-21
DataTech Solutions,Email,Men 18-24,30 days,0.09,15442.88,2.59,Las Vegas,Spanish,1634,16461,10,Foodies,2022-07-07
DataTech Solutions,Influencer,Women 25-34,30 days,0.04,11802.72,4.3,New York,German,808,11185,7,Fashionistas,2022-07-16
Alpha Innovations,Influencer,Men 18-24,60 days,0.02,10100.78,4.48,New York,Mandarin,753,2574,8,Health & Wellness,2022-07-25
Innovate Industries,Display,Women 35-44,15 days,0.06,12982.61,2.98,Los Angeles,Mandarin,1702,16268,1,Tech Enthusiasts,2022-07-10
TechCorp,Social Media,All Ages,45 days,0.15,13233.13,7.9,New York,Mandarin,1807,3171,7,Tech Enthusiasts,2022-07-21
NexGen Systems,Email,Men 25-34,45 days,0.14,5167.28,7.21,Miami,English,1175,14708,4,Foodies,2022-07-02
TechCorp,Search,All Ages,60 days,0.07,15868.54,3.32,Washington,English,1371,18764,1,Foodies,2022-07-21
NexGen Systems,Email,Women 35-44,45 days,0.12,15187.59,2.13,Chicago,German,929,16031,10,Health & Wellness,2022-07-16
TechCorp,Search,Women 35-44,60 days,0.06,9178.85,4.02,Miami,French,1001,14790,10,Outdoor Adventurers,2022-07-20
NexGen Systems,Email,Women 35-44,30 days,0.03,5621.06,3.96,Boston,French,1363,18301,7,Foodies,2022-07-02
Innovate Industries,Email,Men 18-24,30 days,0.13,9891.03,7.96,Washington,German,1898,4530,2,Fashionistas,2022-07-08
NexGen Systems,Social Media,Women 25-34,15 days,0.01,18037.24,3.06,Nueva Orleans,English,967,15812,5,Tech Enthusiasts,2022-07-26
NexGen Systems,Influencer,Women 25-34,45 days,0.14,8868.23,4.95,New York,English,209,9216,9,Health & Wellness,2022-07-16
TechCorp,Search,Men 25-34,15 days,0.14,13462.34,7.34,Washington,Mandarin,1073,1814,7,Health & Wellness,2022-07-22
NexGen Systems,Influencer,Men 25-34,45 days,0.07,5271.51,4.91,Seattle,German,794,6566,3,Health & Wellness,2022-07-11
NexGen Systems,Email,Men 18-24,30 days,0.12,14572.69,5.24,Miami,German,1147,3826,3,Foodies,2022-07-25
TechCorp,Search,Men 18-24,30 days,0.09,9908.21,3.01,Boston,German,733,8201,9,Tech Enthusiasts,2022-07-21
Innovate Industries,Display,Women 35-44,30 days,0.08,18177.87,2.8,Chicago,Spanish,1811,18657,7,Foodies,2022-07-01
NexGen Systems,Social Media,Men 18-24,15 days,0.14,13292.74,6.78,Boston,German,1387,10361,6,Outdoor Adventurers,2022-07-02
DataTech Solutions,Display,Women 35-44,15 days,0.13,5164.92,3.08,San Francisco,French,1021,4119,7,Fashionistas,2022-07-23
Innovate Industries,Social Media,Men 18-24,30 days,0.05,10715.15,6.21,Boston,French,940,13836,3,Fashionistas,2022-07-03
Innovate Industries,Search,Women 25-34,30 days,0.14,17106.61,3.24,Los Angeles,Mandarin,1804,17929,7,Outdoor Adventurers,2022-07-06
TechCorp,Influencer,Women 25-34,45 days,0.1,18436.92,3.8,Las Vegas,Mandarin,1872,7440,5,Health & Wellness,2022-07-27
Innovate Industries,Email,Men 18-24,45 days,0.09,12357.45,4.22,New York,Spanish,937,13980,8,Outdoor Adventurers,2022-07-21
Innovate Industries,Influencer,Men 25-34,45 days,0.12,9325.19,6.47,Nueva Orleans,Spanish,1549,17482,2,Tech Enthusiasts,2022-07-23
Innovate Industries,Display,Women 25-34,15 days,0.08,17198.97,2.11,Chicago,Spanish,773,7717,8,Tech Enthusiasts,2022-07-06
TechCorp,Social Media,Women 35-44,30 days,0.06,5304.39,2.21,Boston,French,112,14040,6,Foodies,2022-07-16
NexGen Systems,Social Media,All Ages,30 days,0.04,13835.36,3.39,Chicago,Spanish,919,6432,7,Tech Enthusiasts,2022-07-13
Alpha Innovations,Search,Women 35-44,30 days,0.08,16555.06,6.23,Nueva Orleans,English,1479,2527,6,Tech Enthusiasts,2022-07-12
TechCorp,Display,Women 25-34,15 days,0.12,17703.25,3.42,Boston,Mandarin,995,19495,4,Foodies,2022-07-07
TechCorp,Search,Women 25-34,30 days,0.1,6594.58,2.97,New York,French,587,1463,5,Outdoor Adventurers,2022-07-12
Alpha Innovations,Influencer,All Ages,15 days,0.09,15211.7,2.6,New York,Spanish,1349,1562,7,Fashionistas,2022-07-29
NexGen Systems,Search,Men 18-24,30 days,0.09,16235.82,3.35,Las Vegas,Spanish,1302,19608,9,Fashionistas,2022-07-08
DataTech Solutions,Influencer,All Ages,30 days,0.12,7199.25,6.44,Los Angeles,Spanish,912,14619,5,Tech Enthusiasts,2022-07-08
Innovate Industries,Search,Men 25-34,60 days,0.06,6407.95,3.12,Las Vegas,Spanish,1575,9072,7,Foodies,2022-07-06
TechCorp,Search,Men 25-34,45 days,0.04,18732.62,7.11,Seattle,German,1871,1980,5,Health & Wellness,2022-07-20
TechCorp,Social Media,Women 25-34,60 days,0.06,12516.98,3.23,New York,Mandarin,416,17033,5,Foodies,2022-07-20
DataTech Solutions,Display,All Ages,60 days,0.08,15610.95,5.01,Seattle,Spanish,1405,8165,5,Health & Wellness,2022-07-05
Innovate Industries,Social Media,Women 35-44,30 days,0.11,14335.05,6.3,Chicago,Spanish,1850,17903,9,Outdoor Adventurers,2022-07-17
DataTech Solutions,Search,Men 18-24,45 days,0.02,16761.7,6.79,San Francisco,German,1589,9500,9,Health & Wellness,2022-07-24
TechCorp,Display,Women 35-44,45 days,0.03,12109.18,2.76,Miami,Mandarin,173,18438,4,Fashionistas,2022-07-24
TechCorp,Influencer,Women 35-44,15 days,0.06,19070.1,5.78,Chicago,Mandarin,727,14388,3,Tech Enthusiasts,2022-07-03
Innovate Industries,Search,Women 25-34,60 days,0.13,15722.32,2.43,New York,French,1548,13900,2,Tech Enthusiasts,2022-07-05
TechCorp,Display,All Ages,45 days,0.1,11408.52,2.47,Miami,English,1392,6040,10,Tech Enthusiasts,2022-07-14
Alpha Innovations,Influencer,Men 25-34,15 days,0.1,12674.41,7.79,Nueva Orleans,German,955,8439,7,Foodies,2022-07-04
NexGen Systems,Display,Women 25-34,15 days,0.07,18835.59,6.23,Chicago,French,1738,12694,6,Health & Wellness,2022-07-04
Alpha Innovations,Email,All Ages,30 days,0.02,5486.06,5.25,Washington,English,1773,10716,8,Tech Enthusiasts,2022-07-13
NexGen Systems,Social Media,Men 25-34,30 days,0.06,10082.82,5.61,Miami,French,1751,13013,2,Tech Enthusiasts,2022-07-05
Alpha Innovations,Search,Men 18-24,60 days,0.04,13110.13,4.48,Los Angeles,Mandarin,1750,15595,9,Foodies,2022-07-09
Alpha Innovations,Email,All Ages,30 days,0.06,12086.14,6.54,Miami,Mandarin,1835,6287,10,Fashionistas,2022-07-28
Innovate Industries,Search,All Ages,30 days,0.02,13947.91,3.62,New York,French,804,11393,8,Health & Wellness,2022-07-23
NexGen Systems,Influencer,Men 25-34,15 days,0.12,14480.31,3.67,San Francisco,French,251,1298,3,Fashionistas,2022-07-11
Alpha Innovations,Email,Men 18-24,60 days,0.13,6868.26,4.82,Boston,Spanish,346,13124,10,Health & Wellness,2022-07-13
Innovate Industries,Influencer,Men 25-34,30 days,0.02,8057.41,2.69,New York,Mandarin,604,11408,3,Outdoor Adventurers,2022-07-10
Innovate Industries,Email,Women 25-34,60 days,0.1,6136.15,3.2,Washington,English,418,15018,3,Health & Wellness,2022-07-16
Alpha Innovations,Display,Women 25-34,30 days,0.07,9180.9,4.28,New York,Spanish,320,7531,2,Tech Enthusiasts,2022-07-25
Innovate Industries,Influencer,Men 25-34,45 days,0.09,6650.13,3.0,Seattle,English,1166,17471,8,Outdoor Adventurers,2022-07-24
TechCorp,Influencer,All Ages,15 days,0.1,17086.05,7.86,Washington,Spanish,272,15973,5,Tech Enthusiasts,2022-07-02
DataTech Solutions,Influencer,Women 25-34,60 days,0.07,7451.06,3.43,Seattle,French,244,12050,7,Foodies,2022-07-14
TechCorp,Search,Women 35-44,30 days,0.02,15388.57,4.53,Boston,French,1685,7905,3,Outdoor Adventurers,2022-07-30
NexGen Systems,Display,Women 25-34,30 days,0.03,16444.13,6.22,Miami,Spanish,1440,10191,3,Tech Enthusiasts,2022-07-12
TechCorp,Email,All Ages,60 days,0.14,8014.21,7.64,New York,Mandarin,711,18906,4,Health & Wellness,2022-07-11
Innovate Industries,Social Media,Men 25-34,15 days,0.11,15947.77,4.81,Nueva Orleans,Spanish,1585,14380,2,Foodies,2022-07-24
NexGen Systems,Social Media,Women 35-44,30 days,0.03,10453.77,2.81,Los Angeles,Spanish,1548,6622,5,Tech Enthusiasts,2022-07-20
DataTech Solutions,Email,Men 18-24,30 days,0.02,7995.88,3.84,Chicago,Spanish,1433,1959,5,Tech Enthusiasts,2022-07-02
NexGen Systems,Email,Men 18-24,45 days,0.12,14004.79,2.15,New York,Spanish,1974,15999,2,Foodies,2022-07-14
DataTech Solutions,Influencer,Women 25-34,15 days,0.1,9240.7,7.9,Washington,German,1726,14355,10,Outdoor Adventurers,2022-07-13
TechCorp,Email,All Ages,45 days,0.04,14519.14,3.49,Seattle,German,458,6606,4,Fashionistas,2022-07-16
NexGen Systems,Email,Men 25-34,15 days,0.07,12384.26,2.12,Boston,Mandarin,1835,10494,4,Outdoor Adventurers,2022-07-04
Alpha Innovations,Email,Women 25-34,45 days,0.02,19433.04,3.06,Las Vegas,English,1991,19189,1,Health & Wellness,2022-07-22
TechCorp,Influencer,Women 25-34,45 days,0.12,19395.95,2.3,Nueva Orleans,Mandarin,1485,18013,3,Fashionistas,2022-07-15
TechCorp,Social Media,Men 25-34,45 days,0.06,19342.01,2.04,San Francisco,German,1239,8485,10,Foodies,2022-07-04
NexGen Systems,Influencer,Women 35-44,15 days,0.02,16779.07,4.9,New York,German,1281,11209,7,Tech Enthusiasts,2022-07-07
Innovate Industries,Email,Women 25-34,45 days,0.13,14844.2,2.1,Las Vegas,English,1557,18345,6,Outdoor Adventurers,2022-07-29
TechCorp,Influencer,Men 18-24,30 days,0.07,11742.06,2.88,Chicago,French,620,8530,3,Foodies,2022-07-13
TechCorp,Social Media,All Ages,30 days,0.12,18759.3,2.55,Los Angeles,Spanish,1604,7445,8,Health & Wellness,2022-07-29
TechCorp,Display,Men 25-34,30 days,0.07,5448.42,7.83,Boston,Spanish,888,17645,4,Fashionistas,2022-07-24
Alpha Innovations,Display,Women 35-44,30 days,0.03,17423.59,4.02,Boston,Mandarin,834,4181,8,Fashionistas,2022-07-09
Innovate Industries,Display,Women 25-34,45 days,0.01,8113.66,4.06,New York,English,865,12000,5,Health & Wellness,2022-07-15
Alpha Innovations,Influencer,Men 18-24,45 days,0.05,5251.69,6.73,Las Vegas,French,1843,18865,10,Foodies,2022-07-05
NexGen Systems,Influencer,Men 25-34,15 days,0.03,8668.04,7.54,Washington,Spanish,300,9504,5,Fashionistas,2022-07-12
Alpha Innovations,Search,All Ages,60 days,0.04,14266.83,3.14,Nueva Orleans,Spanish,1742,11999,5,Health & Wellness,2022-07-30
DataTech Solutions,Search,All Ages,45 days,0.11,10910.22,6.29,Seattle,English,1460,14697,3,Fashionistas,2022-07-22
Innovate Industries,Display,Women 25-34,30 days,0.11,6093.99,3.8,Miami,Spanish,992,3096,10,Foodies,2022-07-15
Alpha Innovations,Search,Women 25-34,30 days,0.09,12427.93,2.36,Seattle,German,164,14149,3,Foodies,2022-07-03
Innovate Industries,Display,Women 35-44,60 days,0.09,19095.19,7.25,Miami,German,1377,13398,3,Health & Wellness,2022-07-29
NexGen Systems,Influencer,Men 18-24,60 days,0.03,7430.11,7.8,Los Angeles,French,847,17438,9,Health & Wellness,2022-07-02
TechCorp,Social Media,All Ages,15 days,0.08,10278.59,7.32,New York,English,209,2398,7,Foodies,2022-07-19
DataTech Solutions,Display,All Ages,45 days,0.1,12518.4,3.17,Nueva Orleans,German,220,16400,4,Outdoor Adventurers,2022-07-21
Alpha Innovations,Social Media,Women 25-34,45 days,0.06,11809.77,5.08,Chicago,German,597,11381,7,Foodies,2022-07-24
Innovate Industries,Search,Women 35-44,60 days,0.03,14535.53,3.18,San Francisco,German,1754,18769,6,Health & Wellness,2022-07-14
DataTech Solutions,Influencer,Men 18-24,60 days,0.02,12178.64,6.73,Chicago,English,1179,15185,8,Foodies,2022-07-26
DataTech Solutions,Display,Men 25-34,15 days,0.11,15450.97,7.62,Nueva Orleans,Mandarin,709,8437,7,Tech Enthusiasts,2022-07-12
TechCorp,Search,Men 25-34,15 days,0.08,10674.73,5.76,Boston,German,1832,17230,10,Outdoor Adventurers,2022-07-23
NexGen Systems,Email,Men 18-24,60 days,0.03,17462.27,2.22,Nueva Orleans,English,896,1582,10,Outdoor Adventurers,2022-07-11
DataTech Solutions,Influencer,Men 25-34,30 days,0.07,12462.46,3.8,Chicago,Spanish,1807,17593,4,Foodies,2022-07-24
Innovate Industries,Influencer,Men 25-34,15 days,0.13,18174.98,7.99,Los Angeles,Spanish,597,6970,2,Outdoor Adventurers,2022-07-07
Innovate Industries,Influencer,Women 25-34,30 days,0.04,5856.12,5.16,Las Vegas,Spanish,117,12002,9,Fashionistas,2022-07-29
Innovate Industries,Email,All Ages,60 days,0.13,15662.8,2.37,Nueva Orleans,English,1322,15902,10,Tech Enthusiasts,2022-07-03
TechCorp,Email,Women 35-44,15 days,0.08,15257.64,5.71,Nueva Orleans,French,1884,7852,10,Foodies,2022-07-20
DataTech Solutions,Social Media,Men 18-24,15 days,0.08,11556.06,6.71,Miami,German,1993,9057,7,Fashionistas,2022-07-28
Alpha Innovations,Influencer,Men 25-34,15 days,0.14,10180.46,6.78,Chicago,Spanish,1130,8216,7,Outdoor Adventurers,2022-07-15
DataTech Solutions,Email,Women 35-44,30 days,0.09,17056.78,3.27,Chicago,Spanish,534,5004,1,Outdoor Adventurers,2022-07-02
Alpha Innovations,Social Media,Women 35-44,30 days,0.06,13955.52,7.33,Miami,German,1875,2581,10,Fashionistas,2022-07-12
Alpha Innovations,Influencer,All Ages,15 days,0.06,16174.6,6.75,Washington,English,575,13528,8,Tech Enthusiasts,2022-07-10
NexGen Systems,Search,Men 18-24,15 days,0.04,8137.76,2.25,Boston,French,909,5294,2,Outdoor Adventurers,2022-07-08
Alpha Innovations,Email,Men 18-24,60 days,0.14,16688.92,7.58,Seattle,German,1389,1325,8,Foodies,2022-07-03
NexGen Systems,Social Media,All Ages,60 days,0.13,17486.86,3.67,Boston,Spanish,737,2352,5,Fashionistas,2022-07-11
Alpha Innovations,Display,Men 25-34,15 days,0.1,5748.86,5.73,New York,Spanish,1603,14577,2,Fashionistas,2022-07-02
TechCorp,Influencer,Men 18-24,60 days,0.13,9059.53,4.71,Seattle,German,1663,18876,1,Fashionistas,2022-07-01
TechCorp,Social Media,Women 25-34,45 days,0.13,13459.97,4.79,Washington,Spanish,1971,1211,1,Foodies,2022-07-19
NexGen Systems,Email,Men 18-24,45 days,0.08,12547.47,3.95,Nueva Orleans,French,570,12078,8,Fashionistas,2022-07-02
TechCorp,Display,Men 25-34,45 days,0.13,7814.77,4.27,Miami,German,874,16802,10,Foodies,2022-07-10
Innovate Industries,Display,Women 25-34,60 days,0.02,17592.47,3.2,Chicago,German,426,13199,1,Fashionistas,2022-07-22
Alpha Innovations,Email,Women 35-44,15 days,0.03,5849.16,4.62,Seattle,English,324,8923,8,Fashionistas,2022-07-27
Innovate Industries,Influencer,All Ages,60 days,0.03,5851.88,6.64,Chicago,German,1052,10804,10,Outdoor Adventurers,2022-07-09
Innovate Industries,Influencer,All Ages,30 days,0.15,9763.42,4.53,Washington,Mandarin,495,13649,8,Outdoor Adventurers,2022-07-16
NexGen Systems,Email,Women 35-44,45 days,0.08,5137.36,7.15,Miami,Mandarin,179,19586,4,Fashionistas,2022-07-17
Alpha Innovations,Email,Women 25-34,60 days,0.11,5239.33,4.97,Nueva Orleans,French,1794,3077,2,Fashionistas,2022-07-06
Alpha Innovations,Email,Women 35-44,60 days,0.02,18034.16,5.51,Seattle,French,1923,18446,9,Foodies,2022-07-07
Innovate Industries,Search,Men 18-24,45 days,0.08,6197.28,2.6,Miami,Mandarin,183,6231,4,Foodies,2022-07-09
TechCorp,Social Media,All Ages,60 days,0.07,16814.6,3.98,Nueva Orleans,English,1565,19595,1,Tech Enthusiasts,2022-07-06
DataTech Solutions,Influencer,Men 25-34,45 days,0.11,12773.93,3.22,Chicago,Mandarin,729,9453,6,Tech Enthusiasts,2022-07-16
Alpha Innovations,Influencer,Women 25-34,30 days,0.1,17925.61,7.29,Washington,Mandarin,810,6694,9,Tech Enthusiasts,2022-07-12
NexGen Systems,Social Media,Men 25-34,60 days,0.15,8410.58,3.03,New York,Spanish,995,16304,6,Foodies,2022-07-25
NexGen Systems,Display,Women 35-44,30 days,0.06,5938.69,7.45,Las Vegas,French,803,16763,9,Foodies,2022-07-26
DataTech Solutions,Influencer,Women 25-34,45 days,0.1,12793.82,2.11,Seattle,Mandarin,1581,3954,4,Foodies,2022-07-05
Alpha Innovations,Influencer,All Ages,60 days,0.07,11902.63,6.52,Los Angeles,Mandarin,1071,8710,2,Fashionistas,2022-07-10
TechCorp,Influencer,Women 25-34,45 days,0.1,18751.52,4.37,Nueva Orleans,Spanish,685,1418,1,Fashionistas,2022-07-19
DataTech Solutions,Email,Women 25-34,30 days,0.1,13512.13,3.21,Seattle,English,234,2688,10,Health & Wellness,2022-07-05
TechCorp,Email,Women 35-44,30 days,0.02,13238.95,4.1,Washington,French,1740,8498,1,Fashionistas,2022-07-01
Alpha Innovations,Email,Men 18-24,30 days,0.14,8522.95,4.85,Chicago,German,1040,18725,1,Foodies,2022-07-25
NexGen Systems,Display,Men 18-24,60 days,0.11,19323.85,3.24,New York,English,1888,2934,10,Foodies,2022-07-14
